,POLICY NUMBER,EFFECTIVE DATE,CANCEL DATE,EXPIRATION DATE,GOVERNING CLASS CODE,NAMED INSURED,CARRIER NAME,AGENCY NAME,AGENCY CITY,AGENCY STATE,EMPLOYER,STREET1,STREET2,CITY,STATE,ZIP,COUNTY,PHONE,# OF EMPLOYEES FOR LOCATION,LOCATION EFFECTIVE DATE,LOCATION CANCEL DATE,NAICS,WRAP-UP INDICATOR,PEO INDICATOR
1,AMW0210001003,4/1/19,NA,4/1/20,8835,COHESIVE NETWORKS 2 INC,STATE NATIONAL INSURANCE COMPANY,AMWINS SPECIALTY CASUALTY SOLU,CHICAGO,IL,ANOLAZE CORP,6985 GARDEN RD,NA,RIVIERA BEACH,FL,334045905,PALM BEACH,NA,2,4/1/19,NA,623110,N,Y
2,AMW0210001003,4/1/19,NA,4/1/20,8835,COHESIVE NETWORKS 2 INC,STATE NATIONAL INSURANCE COMPANY,AMWINS SPECIALTY CASUALTY SOLU,CHICAGO,IL,CARE HEALTH SERVICES INC,2290 10TH AVE N,NA,LAKE WORTH,FL,334616607,PALM BEACH,NA,1,4/1/19,9/21/19,623110,N,Y
3,AMW0210001003,4/1/19,NA,4/1/20,8835,COHESIVE NETWORKS 2 INC,STATE NATIONAL INSURANCE COMPANY,AMWINS SPECIALTY CASUALTY SOLU,CHICAGO,IL,CDS RESOURCES LLC,1040 BAYVIEW DR,NA,FORT LAUDERDALE,FL,333042522,BROWARD,9197891616,12,4/1/19,NA,111421,N,Y
4,AMW0210001003,4/1/19,NA,4/1/20,8835,COHESIVE NETWORKS 2 INC,STATE NATIONAL INSURANCE COMPANY,AMWINS SPECIALTY CASUALTY SOLU,CHICAGO,IL,DANIEL D DIEFENBACH II INC,2851 RAVENSWOOD RD,NA,FT LAUDERDALE,FL,333124965,BROWARD,NA,4,4/1/19,NA,561990,N,Y
5,AMW0210001003,4/1/19,NA,4/1/20,8835,COHESIVE NETWORKS 2 INC,STATE NATIONAL INSURANCE COMPANY,AMWINS SPECIALTY CASUALTY SOLU,CHICAGO,IL,EJ SERVICES,1040 BAYVIEW DR STE 409,NA,FORT LAUDERDALE,FL,333042542,BROWARD,NA,0,4/1/19,NA,561320,N,Y
6,AMW0210001003,4/1/19,NA,4/1/20,8835,COHESIVE NETWORKS 2 INC,STATE NATIONAL INSURANCE COMPANY,AMWINS SPECIALTY CASUALTY SOLU,CHICAGO,IL,FUGAZY SPORTS & ENTERTAINMENT LLC,3925 COLLINS AVE,NA,MIAMI BEACH,FL,331403711,DADE,NA,2,4/1/19,NA,623110,N,Y
7,AMW0210001003,4/1/19,NA,4/1/20,8835,COHESIVE NETWORKS 2 INC,STATE NATIONAL INSURANCE COMPANY,AMWINS SPECIALTY CASUALTY SOLU,CHICAGO,IL,G STAR SCHOOL OF THE ARTS INC,2030 S CONGRESS AVE BLDG J,NA,PALM SPRINGS,FL,334067626,PALM BEACH,NA,1,4/1/19,NA,623110,N,Y
8,AMW0210001003,4/1/19,NA,4/1/20,8835,COHESIVE NETWORKS 2 INC,STATE NATIONAL INSURANCE COMPANY,AMWINS SPECIALTY CASUALTY SOLU,CHICAGO,IL,PHYSICIAN ENDORSED LLC,3179 VIA ABITARE WAY,NA,MIAMI,FL,331335922,DADE,NA,1,4/1/19,NA,623110,N,Y
9,AMW0210001003,4/1/19,NA,4/1/20,8835,COHESIVE NETWORKS 2 INC,STATE NATIONAL INSURANCE COMPANY,AMWINS SPECIALTY CASUALTY SOLU,CHICAGO,IL,ROYAL PALM KID'S CARE,2825 N STATE ROAD 7,NA,MARGATE,FL,330635737,BROWARD,NA,1,4/1/19,NA,623110,N,Y
10,AMW0210001003,4/1/19,NA,4/1/20,8835,COHESIVE NETWORKS 2 INC,STATE NATIONAL INSURANCE COMPANY,AMWINS SPECIALTY CASUALTY SOLU,CHICAGO,IL,SHIFTGIG BULLPEN INC,1200 S PINE ISLAND RD,NA,PLANTATION,FL,333244413,BROWARD,NA,1,4/1/19,6/16/19,722110,N,Y
11,AMW0210001003,4/1/19,NA,4/1/20,8835,COHESIVE NETWORKS 2 INC,STATE NATIONAL INSURANCE COMPANY,AMWINS SPECIALTY CASUALTY SOLU,CHICAGO,IL,SOUTHERN AIR SOLUTIONS INC,10384 WEST SR 84 NO. 12,NA,DAVIE,FL,33324,BROWARD,5617561977,0,4/1/19,NA,238220,N,Y
